user_id,item_id,recommend,review,fecha_convertida,Unnamed: 0,publisher,genres,app_name,title,url,release_date,tags,reviews_url,discount_price,specs,price,early_access,id,metascore,developer,playtime_forever,sentiment
76561197970982479,1250.0,True,"Simple yet with great replayability. In my opinion does ""zombie"" hordes and team work better than left 4 dead plus has a global leveling system. Alot of down to earth ""zombie"" splattering fun for the whole family. Amazed this sort of FPS is so rare.",2011-11-05,119997,Tripwire Interactive,['Action'],Killing Floor,Killing Floor,http://store.steampowered.com/app/1250/Killing_Floor/,2009-05-14,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",http://steamcommunity.com/app/1250/reviews/?browsefilter=mostrecent&p=1,,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",19.99,0.0,1250.0,72.0,Tripwire Interactive,6,Positive
VVillis,1250.0,True,"Amazing, Non-stop action of blowing stuff to bits, Decapitation and shooting everything you see. With a combination of action, thriller and emmersive gameplay, as well as enviromental challanges (Jump physics). This game will really put your eyes to the test, can you see the enemys before they see you? Cause their are so many!",2015-03-30,119997,Tripwire Interactive,['Action'],Killing Floor,Killing Floor,http://store.steampowered.com/app/1250/Killing_Floor/,2009-05-14,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",http://steamcommunity.com/app/1250/reviews/?browsefilter=mostrecent&p=1,,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",19.99,0.0,1250.0,72.0,Tripwire Interactive,81,Positive
jarrodtrim,1250.0,True,"Compared to Left 4 Dead 2, this game REALLY gives you the creeps and the adrenaline rush to kill the Patrioch. +1 for this gameAlthough it does need some major improvements to how they put in the designs (Not the zombies, the HUDs).Other than that, GREAT game!Thrilling!",2013-07-12,119997,Tripwire Interactive,['Action'],Killing Floor,Killing Floor,http://store.steampowered.com/app/1250/Killing_Floor/,2009-05-14,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",http://steamcommunity.com/app/1250/reviews/?browsefilter=mostrecent&p=1,,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",19.99,0.0,1250.0,72.0,Tripwire Interactive,337,Positive
76561198073784601,1250.0,True,Jogo â¥â¥â¥â¥.,2015-08-13,119997,Tripwire Interactive,['Action'],Killing Floor,Killing Floor,http://store.steampowered.com/app/1250/Killing_Floor/,2009-05-14,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",http://steamcommunity.com/app/1250/reviews/?browsefilter=mostrecent&p=1,,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",19.99,0.0,1250.0,72.0,Tripwire Interactive,9129,Neutral
76561198084390807,1250.0,True,cara nas imagens esse jogo da pouco de medo mais se vc comprarem vc nun vÃ£o te medo Ã© munto â¥â¥â¥â¥,2014-04-05,119997,Tripwire Interactive,['Action'],Killing Floor,Killing Floor,http://store.steampowered.com/app/1250/Killing_Floor/,2009-05-14,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",http://steamcommunity.com/app/1250/reviews/?browsefilter=mostrecent&p=1,,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",19.99,0.0,1250.0,72.0,Tripwire Interactive,1,Neutral
76561198077034833,1250.0,True,An Awesome co-op survival shooter! BUY IT!!!,2010-12-16,119997,Tripwire Interactive,['Action'],Killing Floor,Killing Floor,http://store.steampowered.com/app/1250/Killing_Floor/,2009-05-14,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",http://steamcommunity.com/app/1250/reviews/?browsefilter=mostrecent&p=1,,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",19.99,0.0,1250.0,72.0,Tripwire Interactive,1207,Positive
76561198048121243,1250.0,True,este juego es muy bueno,2014-05-26,119997,Tripwire Interactive,['Action'],Killing Floor,Killing Floor,http://store.steampowered.com/app/1250/Killing_Floor/,2009-05-14,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",http://steamcommunity.com/app/1250/reviews/?browsefilter=mostrecent&p=1,,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",19.99,0.0,1250.0,72.0,Tripwire Interactive,17,Neutral
Rafantasma,1250.0,True,"I've played a lot of zombie games in my time, but Killing Floor is by far the most intense. When you have your back to the wall, facing down a Fleshpound and a Scrake, with nothing left but a knife and dead teammates, it really makes your adrenaline kick in. The fact that this game is generally focussed on (but not limited to) multiplayer and teamwork is what makes it that much more enjoyable. Why face hordes of endless flesh-eating creatures alone, when you can share the fun of burning them, blowing them up and hacking them apart with a team? The wide variety of weapons, maps and enemies  really adds to the enjoyment that I got (and continue to get) out of this game.",2015-01-15,119997,Tripwire Interactive,['Action'],Killing Floor,Killing Floor,http://store.steampowered.com/app/1250/Killing_Floor/,2009-05-14,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",http://steamcommunity.com/app/1250/reviews/?browsefilter=mostrecent&p=1,,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",19.99,0.0,1250.0,72.0,Tripwire Interactive,293,Positive
76561198014848587,1250.0,True,i meak luv 2 eet,2014-05-26,119997,Tripwire Interactive,['Action'],Killing Floor,Killing Floor,http://store.steampowered.com/app/1250/Killing_Floor/,2009-05-14,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",http://steamcommunity.com/app/1250/reviews/?browsefilter=mostrecent&p=1,,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",19.99,0.0,1250.0,72.0,Tripwire Interactive,430,Neutral
gatorgolfing,1250.0,True,great game,2014-07-03,119997,Tripwire Interactive,['Action'],Killing Floor,Killing Floor,http://store.steampowered.com/app/1250/Killing_Floor/,2009-05-14,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",http://steamcommunity.com/app/1250/reviews/?browsefilter=mostrecent&p=1,,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']",19.99,0.0,1250.0,72.0,Tripwire Interactive,446,Positive
